IP Address,Country,ORPort,Bandwidth (MiB/s),Flags,Nickname
80.64.181.152,de,1025,26.21,"Fast, Guard, Running, Stable, V2Dir, Valid",Datenschredder
192.109.74.134,de,7553,6.26,"Fast, Running, V2Dir, Valid",PwnedNode
217.160.49.126,de,443,65.03,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",privator
194.5.101.253,de,443,0.41,"Fast, HSDir, Running, Stable, V2Dir, Valid",nrdtrn01
217.160.249.50,de,443,2.30,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",spasoyex
138.201.55.77,de,8445,51.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",bauruine
185.220.101.151,de,11151,28.84,"Fast, Running, Stable, Valid",relayon1151
152.89.254.46,de,9001,3.77,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",deathstar
5.189.181.61,de,443,8.72,"Fast, Running, V2Dir, Valid",dontpanic
137.226.34.45,de,9003,56.44,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",FTPhalifaxRWTH
77.20.42.234,de,443,6.59,"Fast, Running, V2Dir, Valid",Ponyhof
45.90.135.141,de,9001,2.10,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",montserrat
45.134.39.27,de,9001,36.85,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",RelayToTheOpenWeb
85.215.249.184,de,443,26.74,"Fast, Running, V2Dir, Valid",arlisRelay
103.241.51.43,de,9001,26.44,"Fast, Running, Valid",xnet
91.219.23.77,de,9000,23.06,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
92.205.161.164,de,80,48.82,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Charybdis5
84.247.182.30,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
213.136.70.86,de,24836,0.00,"Running, V2Dir, Valid",lunarscribe
85.215.65.232,de,9001,1.42,"Fast, Running, V2Dir, Valid",dagobert1001
84.247.182.34,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
194.55.15.238,de,9001,13.11,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",TORnadoTime
93.211.243.178,de,666,3.71,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",HexaNode
46.165.220.229,de,443,21.81,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",misters
185.220.101.175,de,11175,23.10,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",relayon1175
185.219.84.166,de,9001,47.74,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",whipitz
46.232.251.183,de,9001,9.41,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",theonlyone
212.162.9.158,de,9001,8.27,"Fast, Guard, Running, Stable, V2Dir, Valid",CaptainMarvel
84.247.182.39,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
95.222.140.85,de,9001,3.15,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",rmblue
185.220.101.200,de,8443,31.60,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
79.197.242.47,de,24192,4.79,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Mainframe
162.55.107.247,de,9001,18.36,"Fast, Running, Stable, V2Dir, Valid",mullbinde5
91.4.222.149,de,9001,2.53,"Fast, Running, Stable, V2Dir, Valid",PaulusgemeindeNode
148.251.51.34,de,9993,74.01,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",fuckfbi
185.220.101.149,de,11149,29.67,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",relayon1149
82.149.227.236,de,9003,20.62,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",f14480488695e0c7b27
195.122.183.170,de,9001,6.48,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",washington
193.31.25.141,de,443,3.87,"Fast, Guard, Running, Stable, V2Dir, Valid",TORHELPER
84.252.123.112,de,443,14.71,"Fast, Guard, Running, Stable, V2Dir, Valid",firstRelay
202.61.192.215,de,8443,22.91,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",cve
217.154.211.3,de,9001,5.24,"Fast, Running, V2Dir, Valid",node03
116.202.6.255,de,9999,1.57,"Fast, Running, Stable, Valid",YaniNode2
5.45.105.12,de,9001,30.08,"Fast, Running, Stable, Valid",mango
78.31.67.22,de,9001,1.05,"Fast, Running, Stable, V2Dir, Valid",tor2lhvmct
162.19.252.137,de,9300,46.65,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
91.250.81.52,de,9001,5.16,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",minty004
37.221.195.23,de,9001,5.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",magritte
77.90.4.53,de,9001,26.99,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",RoutinAlex
212.227.224.245,de,443,6.29,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",BensVPSRelayDE
176.9.57.157,de,9001,62.23,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",tortisserie
178.63.43.153,de,443,22.39,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",tmrx2
152.53.126.108,de,8443,23.23,"Fast, Guard, Running, Stable, V2Dir, Valid",0xcc01
51.89.23.41,de,9300,32.17,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
217.160.79.224,de,9001,42.43,"Fast, Guard, Running, Stable, V2Dir, Valid",SteinchesTORRelay
152.53.17.175,de,9001,14.68,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",BigOnion
79.207.156.249,de,9001,4.59,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",TorminatorFL
202.61.253.243,de,9002,23.13,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",toezdemir
142.132.204.165,de,4080,71.62,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",spicyavocado
171.22.173.221,de,443,14.75,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",9g4net1
43.251.160.81,de,9001,7.34,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",MiddleMaze
185.177.206.70,de,443,36.61,"Fast, HSDir, Running, Stable, V2Dir, Valid",as212520
88.150.28.241,de,9001,0.52,"Fast, HSDir, Running, Stable, V2Dir, Valid",tommasch22
49.12.224.203,de,8000,10.06,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",mnlabrelay2
185.220.101.209,de,443,33.58,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
77.22.118.38,de,9001,2.05,"Fast, Running, Stable, Valid",kaschemme701
217.245.31.137,de,443,2.54,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",pirelay329542
207.180.234.231,de,9002,11.29,"Fast, Running, V2Dir, Valid",someonesRelay
37.221.197.245,de,9100,11.89,"Fast, Running, V2Dir, Valid",Unnamed
217.250.108.38,de,9123,0.71,"Fast, Running, Stable, Valid",snIP3r
185.220.101.199,de,443,37.73,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
136.243.92.194,de,9001,60.89,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",bavariaboys
87.106.134.42,de,4334,49.90,"Fast, Guard, Running, Stable, V2Dir, Valid",OgheiK2ZoogoaGooc4E
5.75.165.11,de,443,10.00,"Fast, Running, Stable, Valid",telerelay
78.46.92.172,de,9001,85.18,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",torrelay583481
139.162.162.238,de,1443,0.41,"Fast, HSDir, Running, Stable, V2Dir, Valid",myNiceRelay
85.215.42.225,de,9001,18.69,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",PathosII
178.215.228.78,de,9001,62.56,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",whatconfig
213.165.94.162,de,443,35.93,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",InVinoVeritas5
88.198.209.95,de,9001,3.89,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",stoertetor02
51.38.112.15,de,9300,34.89,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
79.225.94.221,de,9001,3.15,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ohrly
84.247.182.32,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
46.4.55.177,de,1723,0.51,"Fast, Running, Stable, V2Dir, Valid",brotherjacob
136.243.147.91,de,9001,10.01,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ETorificator
84.247.182.33,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
185.194.142.73,de,8443,10.25,"Fast, Guard, Running, Stable, V2Dir, Valid",FreedomOfSpeech
46.165.242.86,de,9002,22.58,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",devilusesPRA
195.52.135.101,de,9001,1.31,"Fast, Running, V2Dir, Valid",steigerwald
146.0.36.87,de,9006,24.33,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Kanellos
37.114.33.15,de,9100,19.07,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
138.201.19.25,de,8000,64.60,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",CSanders
5.44.107.168,de,9001,10.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",hasselba2
88.99.144.235,de,9001,28.38,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",FragiGrenade
94.141.123.66,de,9300,15.12,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
85.235.64.77,de,9001,22.40,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",chaoscode2
78.46.162.123,de,9001,0.10,"Running, Stable, V2Dir, Valid",nodebyCyper
49.12.230.234,de,9001,2.10,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",HCCSRV02
37.221.193.161,de,443,25.94,"Fast, Guard, Running, Stable, V2Dir, Valid",0xcc01N3
135.125.202.252,de,9001,40.90,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",slotor02
185.177.206.69,de,443,23.00,"Fast, HSDir, Running, Stable, V2Dir, Valid",as212520
194.55.12.148,de,9001,16.49,"Fast, Guard, Running, Stable, V2Dir, Valid",giesskanne
167.235.112.134,de,9000,21.88,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",jhsfirsttorrelay
94.130.70.185,de,4443,77.12,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Bluejaybrd
188.68.41.54,de,443,33.84,"Fast, Running, Stable, Valid",Start100
81.7.19.110,de,1080,19.94,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Freebird33
146.0.36.87,de,9002,23.22,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Kanellos
89.58.53.213,de,9001,31.28,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",halfdansboat
217.154.64.93,de,8080,2.07,"Fast, Running, Stable, V2Dir, Valid",myFancyRelay202503
116.203.129.6,de,9001,13.54,"Fast, Running, Valid",NebulaNode
37.114.42.239,de,9001,4.19,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",anarchy
46.101.178.190,de,9001,1.98,"Fast, HSDir, Running, Stable, V2Dir, Valid",AmirTaaki4President
178.254.45.235,de,443,4.42,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",NetWorkXXV
185.85.241.119,de,8081,33.46,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ruby
5.45.96.188,de,443,8.58,"Fast, Running, Stable, Valid",dozer
94.16.118.23,de,1993,7.88,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",galates2
5.45.99.251,de,8080,8.19,"Fast, Guard, Running, Stable, V2Dir, Valid",northerndownpour
78.35.90.2,de,9031,0.96,"Fast, Running, Stable, V2Dir, Valid",nickname
51.38.112.15,de,9200,31.31,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
94.141.123.170,de,9300,17.36,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
134.130.172.229,de,9001,32.90,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",pinselohrkatze00
178.33.36.64,de,8080,52.11,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Merlin
185.232.69.10,de,443,6.29,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",GermanCraft16
37.120.168.158,de,9001,0.00,"Running, V2Dir, Valid",RobLoo
94.16.113.135,de,9001,23.66,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",torrx
46.23.72.81,de,443,18.21,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",frankovich
152.53.17.83,de,9001,24.80,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",KavinRelay
37.24.165.91,de,9001,6.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",ra2sys
94.141.123.66,de,9500,17.18,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
5.9.14.25,de,143,40.50,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",TorHet
148.251.85.195,de,9030,61.47,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",redvader
79.224.34.201,de,9001,3.55,"Fast, Running, V2Dir, Valid",BienwaldKA01
38.242.218.37,de,9001,6.29,"Fast, Running, Stable, Valid",Unnamed
77.20.3.30,de,433,6.22,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",DocTor
89.58.5.0,de,443,20.97,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",TorRelay2a
37.120.187.120,de,9001,5.55,"Fast, Running, V2Dir, Valid",Mia
185.232.68.26,de,443,27.72,"Fast, Guard, Running, Stable, V2Dir, Valid",0xcc01N2
185.85.240.191,de,853,9.60,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",SurveillanceMonster
84.247.182.37,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
82.149.227.124,de,8080,0.66,"Fast, HSDir, Running, Stable, V2Dir, Valid",cryzrelay03
178.208.186.179,de,443,0.62,"Fast, Running, Stable, V2Dir, Valid",torly4relay
92.117.20.194,de,9001,2.10,"Fast, Running, V2Dir, Valid",myPiFly
138.201.55.77,de,8443,39.34,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",bauruine
88.151.194.118,de,443,51.61,"Fast, Guard, Running, Stable, V2Dir, Valid",BiggerBetter
85.209.50.10,de,9001,29.12,"Fast, Running, Stable, Valid",bofmsab
91.184.164.255,de,9002,10.49,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",1Relay
193.23.244.244,de,443,0.51,"Authority, Fast, HSDir, Running, Stable, V2Dir, Valid",dannenberg
185.220.101.200,de,443,30.08,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
185.220.101.196,de,443,38.29,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
2.241.243.40,de,9001,0.81,"Fast, Running, V2Dir, Valid",OptiHolo
85.215.218.206,de,9001,15.69,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",yaleRroTatsuJ
138.201.57.234,de,9002,61.14,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",666Sirocco
193.30.122.222,de,443,34.47,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",iamanickname
45.136.29.221,de,31337,28.95,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",hopfenspace0
84.247.182.20,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
167.235.15.221,de,8080,5.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Unnamed
84.247.182.18,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
109.91.213.9,de,1337,3.28,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",TorRelay1337
144.76.56.43,de,9001,6.40,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",pratyHorseRelay
37.221.193.44,de,9001,3.07,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",cybr
217.160.17.134,de,443,23.60,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Sachya
91.54.120.223,de,9050,3.16,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",TKL
217.79.181.76,de,443,39.87,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
152.53.251.172,de,9001,33.14,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",FeidhlimNetcup01
92.60.37.105,de,9001,10.49,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",15T01
152.53.15.144,de,9001,5.24,"Fast, Guard, Running, Stable, V2Dir, Valid",ARCNetWork
212.132.97.196,de,443,24.88,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",PommespanzerDE9
51.195.103.239,de,9001,6.55,"Fast, Running, V2Dir, Valid",CavalloGoloso
81.169.186.16,de,29002,27.17,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",viennaOnTheRunn
144.76.159.218,de,8443,62.07,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",BEEzar
81.20.143.138,de,9001,1.02,"Fast, HSDir, Running, Stable, V2Dir, Valid",Unnamed
152.53.246.111,de,9001,34.08,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",FeidhlimNetcup00
194.164.202.239,de,443,28.73,"Fast, Running, Stable, Valid",freeSpeech
2.56.98.121,de,9005,2.94,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",BienwaldKA05
87.106.235.75,de,9002,23.12,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",zitrone
152.53.102.95,de,22,4.19,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",nobo
92.116.232.119,de,7919,0.51,"Fast, Running, V2Dir, Valid",G00dT0Kn0w
87.138.152.33,de,8001,0.51,"Fast, Running, Stable, V2Dir, Valid",MikeDiaIsGone
87.106.159.36,de,443,10.57,"Fast, Running, Stable, V2Dir, Valid",Geb
94.130.129.15,de,9001,0.08,"Running, Stable, Valid",Oxygen
85.215.152.106,de,9001,40.43,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Unnamed
185.220.101.204,de,443,19.56,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
212.227.135.112,de,443,24.98,"Fast, Running, V2Dir, Valid",PommespanzerDE6
5.75.213.11,de,8443,6.29,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",AndyprojectTor
85.215.46.141,de,9001,9.76,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Unnamed
45.14.233.193,de,443,69.78,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",mikrogravitation3
5.230.38.235,de,443,8.55,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",kryptov
202.61.204.198,de,443,6.00,"Fast, Guard, Running, Stable, V2Dir, Valid",Vendetta3
176.9.38.121,de,9100,60.61,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Turik
192.129.10.18,de,443,41.73,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",FAUtor
51.89.23.41,de,9100,37.45,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
85.16.187.240,de,9051,2.10,"Fast, Running, V2Dir, Valid",torbogen51
212.95.51.8,de,443,36.80,"Fast, HSDir, Running, Stable, V2Dir, Valid",1234qwertyasdfzxcv
84.190.199.100,de,443,0.00,"Running, V2Dir, Valid",Unnamed
185.220.101.197,de,443,31.84,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
185.220.101.141,de,11141,23.51,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",relayon1141
188.245.91.213,de,9001,35.71,"Fast, Running, Stable, Valid",itsamazing
188.172.228.104,de,443,23.12,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Totoro4220
90.187.113.149,de,9001,2.10,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",fviridis
146.0.36.87,de,9003,24.73,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Kanellos
188.68.40.180,de,9001,2.62,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Dathomir
2.204.217.100,de,9001,2.12,"Fast, Guard, Running, Stable, V2Dir, Valid",buchikuchi
85.215.236.175,de,443,7.88,"Fast, Running, Stable, V2Dir, Valid",Zvezda
5.56.198.130,de,9001,1.02,"Fast, HSDir, Running, Stable, V2Dir, Valid",uwumsPiRelay
5.9.59.78,de,9001,20.84,"Fast, Running, Valid",torrrrr
188.68.46.245,de,9001,32.42,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Piratenpartei02
185.196.220.82,de,9001,6.98,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ThePlagueWorld
94.141.123.170,de,9500,18.90,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
176.65.148.149,de,443,6.52,"BadExit, Fast, MiddleOnly, Running, Stable, Valid",tortortor
157.90.212.53,de,443,49.47,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",itomori
51.75.70.246,de,443,8.22,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",anonkaisx
89.245.40.5,de,9001,4.79,"Fast, Running, V2Dir, Valid",Gooony
193.30.123.113,de,443,10.96,"Fast, Guard, Running, Stable, V2Dir, Valid",mnesys1
212.53.250.42,de,8080,2.80,"Fast, Running, V2Dir, Valid",ngggermany
87.185.59.8,de,9001,10.49,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",notagain
84.252.120.63,de,443,9.82,"Fast, Guard, Running, Stable, V2Dir, Valid",SLAVAUKRAINI
85.215.77.30,de,9001,0.17,"Fast, Running, V2Dir, Valid",someinternhero
88.198.101.33,de,9001,0.20,"Running, V2Dir, Valid",glenda0
82.165.132.223,de,9001,6.78,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ByteAssaustratoL
81.169.134.23,de,443,41.75,"Fast, Guard, Running, Stable, V2Dir, Valid",RightToInformation
84.19.176.161,de,8443,19.11,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Anguirus
185.220.101.136,de,11136,22.46,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",relayon1136
93.244.143.231,de,9001,4.33,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",CeMunz
109.250.190.102,de,9002,1.24,"Fast, Running, V2Dir, Valid",DETL0002
178.236.254.48,de,9300,18.40,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
46.244.227.30,de,9001,1.05,"Fast, HSDir, Running, Stable, V2Dir, Valid",RasBifrost
82.149.227.125,de,9001,10.79,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",cryzrelay02
212.132.101.102,de,9001,26.44,"Fast, Guard, Running, Stable, V2Dir, Valid",Meinungsfreiheit
86.111.154.50,de,8080,3.28,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",XYZ
185.219.220.217,de,443,0.26,"Running, Stable, V2Dir, Valid",ip689093
194.163.182.63,de,443,13.11,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",styx
188.194.61.91,de,9090,4.72,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",relaysupporter55
87.106.86.231,de,9001,38.49,"Fast, Guard, Running, Stable, V2Dir, Valid",ce2cb4203f79
94.141.123.170,de,9200,13.23,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
51.38.112.15,de,9100,33.70,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
87.106.176.222,de,9001,5.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",nirukoru
136.243.174.159,de,9100,65.05,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",MaverickPass
89.58.17.212,de,7444,6.99,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",pato
94.130.10.179,de,4080,67.21,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Allator
91.219.23.77,de,9200,20.78,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
92.205.129.7,de,21,41.19,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Charybdis3
37.114.33.15,de,9000,22.80,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
84.141.169.71,de,9001,0.00,"Running, StaleDesc, V2Dir, Valid",torguard001
84.157.201.15,de,443,3.70,"Fast, Running, V2Dir, Valid",PickANicknameSME
141.14.220.177,de,443,1.57,"Fast, HSDir, Running, Stable, V2Dir, Valid",MarkTwain
159.69.11.74,de,1050,0.61,"Fast, HSDir, Running, Stable, V2Dir, Valid",OkurwaRelay
94.130.69.218,de,8443,78.13,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Novastation
45.136.28.24,de,9001,18.43,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",cuptor01
195.201.174.108,de,9001,65.43,"Fast, Guard, Running, Stable, V2Dir, Valid",psYchotic
79.220.60.47,de,64101,2.10,"Fast, Running, V2Dir, Valid",myTorRelay
82.165.101.234,de,443,12.68,"Fast, Running, V2Dir, Valid",4711
84.247.182.23,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
84.247.182.24,de,9001,0.00,"Running, V2Dir, Valid",Unnamed
128.140.113.9,de,443,22.03,"Fast, Running, Valid",DlieRelay0
178.33.36.64,de,9090,41.32,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",gibson44
88.153.63.51,de,9001,4.19,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",DaporTor
149.233.249.235,de,9001,19.24,"Fast, Running, V2Dir, Valid",flachmon
178.254.45.64,de,443,36.44,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",lightblue
62.141.37.218,de,443,23.07,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Ishtar
185.220.101.210,de,443,31.97,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
5.189.151.142,de,443,10.32,"Fast, Running, V2Dir, Valid",0xdeadbeef
51.89.9.207,de,443,6.55,"Fast, Guard, Running, Stable, V2Dir, Valid",CyberTransfer
185.220.101.203,de,8443,24.79,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ForPrivacyNET
79.194.240.70,de,9001,10.49,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",jay
167.86.67.112,de,9001,14.53,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Neutron
78.159.117.165,de,9001,34.38,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",TheSilentField
77.90.4.48,de,9001,40.89,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",TeleLeon
2.58.52.163,de,9002,20.48,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",SomeTorinAS200462
2.58.52.163,de,9003,20.48,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",SomeTorinAS200462
78.47.161.178,de,9001,7.11,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Liliaceae
149.233.243.224,de,9001,2.10,"Fast, Running, V2Dir, Valid",h4xx
148.251.136.16,de,9100,63.84,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",defcon777
62.67.28.2,de,9001,11.28,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",BlueLighthouse
46.4.66.178,de,9001,92.00,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",chooThaineha
178.254.32.33,de,443,48.98,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Bernhard
77.90.41.87,de,443,55.88,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",rexIndex
185.228.138.252,de,8080,15.51,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",CryptoHouse
217.154.74.227,de,443,42.91,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",AnotherTorNode0602
37.114.50.133,de,443,55.74,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Heinrich
