IP Address,Country,ORPort,Bandwidth (MiB/s),Flags,Nickname
37.252.191.4,at,443,1.31,"Fast, Running, Stable, V2Dir, Valid",fflush
140.78.100.38,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay38at5443
140.78.100.16,at,5443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay16at5443
178.113.252.228,at,10000,1.77,"Fast, HSDir, Running, Stable, V2Dir, Valid",Helsionium
140.78.100.15,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay15at5443
109.70.100.245,at,80,1.48,"Fast, Running, V2Dir, Valid",bender
140.78.100.43,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay43at5443
89.31.123.8,at,52993,0.19,"Running, Stable, V2Dir, Valid",Unnamed
193.219.97.25,at,9001,21.99,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Aethe
140.78.100.25,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay25at5443
109.70.100.246,at,9040,6.84,"Fast, Running, V2Dir, Valid",cooper
185.119.119.63,at,9001,10.26,"Fast, Running, V2Dir, Valid",HatOfTin
192.36.38.33,at,443,33.76,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",uzieka
140.78.100.20,at,8443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay20at8443
140.78.100.28,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay28at8443
140.78.100.23,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay23at8443
140.78.100.20,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay20at5443
94.177.8.200,at,9001,7.16,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",beastzone
185.119.117.229,at,443,15.92,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ekanu
140.78.100.27,at,8443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay27at8443
90.146.187.6,at,9004,2.23,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",eclipse03
140.78.100.22,at,5443,0.11,"Fast, Running, V2Dir, Valid",INSRelay22at5443
109.70.100.245,at,9000,14.16,"Fast, Running, V2Dir, Valid",lovelace
45.144.209.18,at,9001,20.06,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",mrrrr44
140.78.100.21,at,5443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay21at5443
37.252.187.14,at,443,10.85,"Fast, Guard, Running, Stable, V2Dir, Valid",rinderwahnRelayAT
140.78.100.15,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay15at8443
140.78.100.26,at,5443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay26at5443
109.70.100.245,at,9030,3.57,"Fast, Running, V2Dir, Valid",schwartz
149.154.154.155,at,9001,0.60,"Fast, HSDir, Running, Stable, V2Dir, Valid",noa
140.78.100.29,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay29at8443
140.78.100.17,at,8443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay17at8443
140.78.100.37,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay37at5443
109.70.100.246,at,80,2.49,"Fast, Running, V2Dir, Valid",clarke
185.119.117.148,at,9001,12.38,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",T0rNode555Nose
140.78.100.29,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay29at5443
195.230.168.83,at,9001,5.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Mundl
84.115.128.225,at,9001,0.66,"Fast, HSDir, Running, Stable, V2Dir, Valid",hisnetwork01
91.227.33.149,at,61809,0.20,"Running, Stable, Valid",Unnamed
37.252.190.176,at,443,9.31,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",chutney
140.78.100.39,at,8443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay39at8443
140.78.100.24,at,5443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay24at5443
5.132.159.238,at,443,4.19,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",letsdoitAT
140.78.100.36,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay36at8443
140.78.100.19,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay19at8443
109.70.100.246,at,9020,12.17,"Fast, Running, V2Dir, Valid",scheridan
140.78.100.38,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay38at8443
89.185.109.216,at,18360,24.05,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",XoaseRelay
140.78.100.25,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay25at8443
140.78.100.21,at,8443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay21at8443
140.78.100.27,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay27at5443
140.78.100.14,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay14at8443
